判斷,代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,ROE_5Y.1,EPS_5Y.1,毛利率_5Y.1,現金殖利率.1,符合數量,正負樣本
3048,3048,益登,15.45,2.43,3.05,5.68,1,1,0,1,3,1
8131,8131,福懋科,12.35,3.18,18.72,6.27,1,1,0,1,3,1
2546,2546,根基,17.79,4.66,7.57,5.67,1,1,0,1,3,1
8112,8112,至上,21.82,4.49,2.85,8.58,1,1,0,1,3,1
2597,2597,潤弘,16.21,5.98,14.19,6.09,1,1,0,1,3,1
4722,4722,國精化,11.73,2.95,17.6,5.11,1,1,0,1,3,1
6281,6281,全國電,19.94,5.0,18.97,5.35,1,1,0,1,3,1
8271,8271,宇瞻,14.07,3.8,15.6,6.35,1,1,0,1,3,1
3231,3231,緯創,12.27,2.5,4.84,6.69,1,1,0,1,3,1
1541,1541,錩泰,17.38,3.1,16.15,6.33,1,1,0,1,3,1
5546,5546,永固-KY,23.42,6.32,16.56,5.48,1,1,0,1,3,1
2347,2347,聯強,17.49,5.39,4.09,5.39,1,1,0,1,3,1
1521,1521,大億,15.18,3.73,15.33,8.48,1,1,0,1,3,1
2459,2459,敦吉,10.77,4.32,16.86,6.11,1,1,0,1,3,1
8213,8213,志超,11.46,5.43,14.63,8.02,1,1,0,1,3,1
2535,2535,達欣工,11.13,2.84,10.93,6.02,1,1,0,1,3,1
2382,2382,廣達,14.37,5.42,5.15,5.63,1,1,0,1,3,1
2357,2357,華碩,10.76,27.74,16.39,9.0,1,1,0,1,3,1
1301,1301,台塑,13.01,7.15,18.26,6.0,1,1,0,1,3,1
6504,6504,南六,19.76,8.9,19.92,6.54,1,1,0,1,3,1
6691,6691,洋基工程,28.63,15.07,15.6,5.98,1,1,0,1,3,1
1515,1515,力山,23.75,4.2,18.65,7.6,1,1,0,1,3,1
2020,2020,美亞,14.27,2.01,11.5,7.16,1,1,0,1,3,1
2385,2385,群光,19.26,7.22,17.11,6.3,1,1,0,1,3,1
2376,2376,技嘉,17.5,7.88,18.11,6.08,1,1,0,1,3,1
3029,3029,零壹,13.96,2.86,10.17,5.42,1,1,0,1,3,1
2069,2069,運錩,11.0,2.5,8.01,6.42,1,1,0,1,3,1
6412,6412,群電,21.64,4.84,16.73,5.02,1,1,0,1,3,1
2227,2227,裕日車,27.83,19.59,15.16,8.65,1,1,0,1,3,1
3044,3044,健鼎,16.29,10.4,19.32,6.62,1,1,0,1,3,1
1303,1303,南亞,12.88,5.98,16.11,6.61,1,1,0,1,3,1
2609,2609,陽明,24.39,9.84,18.03,6.27,1,1,0,1,3,1
3702,3702,大聯大,13.8,4.71,4.07,5.39,1,1,0,1,3,1
3033,3033,威健,12.77,2.19,5.99,5.53,1,1,0,1,3,1
2031,2031,新光鋼,14.71,3.67,11.13,5.26,1,1,0,1,3,1
6189,6189,豐藝,14.37,2.96,8.02,6.8,1,1,0,1,3,1
6112,6112,邁達特,13.2,2.84,10.79,6.47,1,1,0,1,3,1
2015,2015,豐興,15.22,4.91,13.62,5.79,1,1,0,1,3,1
1312,1312,國喬,13.74,4.03,16.97,5.31,1,1,0,1,3,1
2439,2439,美律,19.07,10.74,13.85,9.2,1,1,0,1,3,1
9927,9927,泰銘,11.48,2.93,10.18,7.61,1,1,0,1,3,1
3528,3528,安馳,13.73,3.16,12.42,5.49,1,1,0,1,3,1
3032,3032,偉訓,11.6,3.04,16.76,7.76,1,1,0,1,3,1
6456,6456,GIS-KY,19.07,13.45,9.44,6.36,1,1,0,1,3,1
3048,3048,益登,15.45,2.43,3.05,5.68,1,1,0,1,3,1
8131,8131,福懋科,12.35,3.18,18.72,6.27,1,1,0,1,3,1
2546,2546,根基,17.79,4.66,7.57,5.67,1,1,0,1,3,1
8112,8112,至上,21.82,4.49,2.85,8.58,1,1,0,1,3,1
2597,2597,潤弘,16.21,5.98,14.19,6.09,1,1,0,1,3,1
4722,4722,國精化,11.73,2.95,17.6,5.11,1,1,0,1,3,1
6281,6281,全國電,19.94,5.0,18.97,5.35,1,1,0,1,3,1
8271,8271,宇瞻,14.07,3.8,15.6,6.35,1,1,0,1,3,1
3231,3231,緯創,12.27,2.5,4.84,6.69,1,1,0,1,3,1
1541,1541,錩泰,17.38,3.1,16.15,6.33,1,1,0,1,3,1
5546,5546,永固-KY,23.42,6.32,16.56,5.48,1,1,0,1,3,1
2347,2347,聯強,17.49,5.39,4.09,5.39,1,1,0,1,3,1
1521,1521,大億,15.18,3.73,15.33,8.48,1,1,0,1,3,1
2459,2459,敦吉,10.77,4.32,16.86,6.11,1,1,0,1,3,1
8213,8213,志超,11.46,5.43,14.63,8.02,1,1,0,1,3,1
2535,2535,達欣工,11.13,2.84,10.93,6.02,1,1,0,1,3,1
2382,2382,廣達,14.37,5.42,5.15,5.63,1,1,0,1,3,1
2357,2357,華碩,10.76,27.74,16.39,9.0,1,1,0,1,3,1
1301,1301,台塑,13.01,7.15,18.26,6.0,1,1,0,1,3,1
6504,6504,南六,19.76,8.9,19.92,6.54,1,1,0,1,3,1
