判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,,,,,,
3703,5.06,1.51,12.96,3.09,-1,3703,,,,,,
1449,-7.07,-0.34,7.13,0,-1,1449,,,,,,
4540,9.1,2.45,25.19,3.22,-1,4540,,,,,,
1617,8.87,1.08,13.25,4.33,-1,1617,,,,,,
2038,0.71,0.2,2.22,3.16,-1,2038,,,,,,
2514,9.03,1.97,32.1,1.6,-1,2514,,,,,,
2910,4.15,0.55,65.7,1.89,-1,2910,,,,,,
3432,5.34,1.18,34.76,1.7,-1,3432,,,,,,
1522,7.37,1.56,21.12,3.69,-1,1522,,,,,,
2613,2.6,0.64,11.68,2.14,-1,2613,,,,,,
1418,-60.82,-4.53,-113.93,0,-1,1418,,,,,,
2417,8.29,1.29,50.78,1.97,-1,2417,,,,,,
2712,0.72,0.09,27.4,1.87,-1,2712,,,,,,
1236,0.09,0.01,26.96,1.27,-1,1236,,,,,,
2634,9.76,1.42,10.91,2.33,-1,2634,,,,,,
2704,2.34,0.63,32.86,1.8,-1,2704,,,,,,
1410,7.1,1.18,37.42,2.86,-1,1410,,,,,,
5258,2.78,0.15,27.1,1.2,-1,5258,,,,,,
2329,2.23,0.35,7.67,1.29,-1,2329,,,,,,
3004,9.66,3.04,23.98,2.41,-1,3004,,,,,,
3024,3.63,0.35,22,1.52,-1,3024,,,,,,
2344,9.29,1.5,33.79,3.11,-1,2344,,,,,,
2359,4.09,1.03,20.42,3.28,-1,2359,,,,,,
2466,1.11,0.12,10.92,0,-1,2466,,,,,,
1217,2.25,0.27,31.77,0.62,-1,1217,,,,,,
1795,7.58,2.59,46.1,0.35,-1,1795,,,,,,
3308,-9.7,-0.87,4.96,0.99,-1,3308,,,,,,
3481,6.14,1.57,13.33,3.98,-1,3481,,,,,,
2062,2.65,0.89,12.86,1.11,-1,2062,,,,,,
2540,9.63,3.19,39.99,0.6,-1,2540,,,,,,
3164,5.87,0.99,65.79,3.45,-1,3164,,,,,,
3419,-0.73,-0.08,19.58,1.1,-1,3419,,,,,,
4133,2.86,0.57,45.38,1.14,-1,4133,,,,,,
1725,7.25,1.32,4.71,4.01,-1,1725,,,,,,
1528,-0.13,-0.02,26.65,1.83,-1,1528,,,,,,
3055,-2.11,-0.56,17.86,2.05,-1,3055,,,,,,
6598,-47.61,-3.69,50.63,0,-1,6598,,,,,,
1516,6.87,0.8,3.94,1.6,-1,1516,,,,,,
1529,7.89,0.61,20.35,1.61,-1,1529,,,,,,
3311,-3.42,-1.21,13.3,3.85,-1,3311,,,,,,
1473,-1.86,-0.33,12.8,1.71,-1,1473,,,,,,
1470,5.55,0.62,21.86,3.04,-1,1470,,,,,,
2434,-31.59,-1.73,-28.21,0,-1,2434,,,,,,
4746,6.13,3.86,33.03,3.22,-1,4746,,,,,,
1475,-14.64,-2.74,-16.81,0,-1,1475,,,,,,
2637,8.61,3.64,26.01,4.14,-1,2637,,,,,,
1324,1.63,0.22,15.98,2.56,-1,1324,,,,,,
2426,9.28,1.3,19.3,4.53,-1,2426,,,,,,
1731,6.59,0.9,58.27,4.13,-1,1731,,,,,,
3043,-36.34,-0.01,21.16,3.08,-1,3043,,,,,,
6605,6.39,5.2,25.74,2.33,-1,6605,,,,,,
4576,6.49,1.52,34.6,0.53,-1,4576,,,,,,
4545,1.1,0.24,20.74,1.72,-1,4545,,,,,,
1220,5.92,0.74,13.71,4.44,-1,1220,,,,,,
1104,6.66,1.82,14.24,4.79,-1,1104,,,,,,
2601,3.63,0.62,66.18,3.29,-1,2601,,,,,,
2314,-3.21,-0.28,15.39,0.2,-1,2314,,,,,,
2903,5.27,1.11,50.49,4.58,-1,2903,,,,,,
8488,0.8,0.3,9.4,3.46,-1,8488,,,,,,
4976,-0.99,-0.14,7.98,1.67,-1,4976,,,,,,
8201,-2.78,-0.42,14.33,2.41,-1,8201,,,,,,
2419,7.26,0.86,20.77,3.05,-1,2419,,,,,,
1213,-9.02,-0.89,4.96,0,-1,1213,,,,,,
1234,4.23,1.88,26.54,4.96,-1,1234,,,,,,
2462,3.22,0.58,9.28,2.4,-1,2462,,,,,,
2440,5.76,0.5,7.42,1,-1,2440,,,,,,
9904,8.94,3.71,24.7,4.64,-1,9904,,,,,,
3094,4.19,0.57,67.91,3.02,-1,3094,,,,,,
2013,6.31,1.49,3.38,2.23,-1,2013,,,,,,
1474,5.07,0.81,12.63,4,-1,1474,,,,,,
3027,-0.13,-0.04,32.99,0.63,-1,3027,,,,,,
2727,6.3,3.7,45.77,3.67,-1,2727,,,,,,
8105,-1.98,-0.33,9.72,0.89,-1,8105,,,,,,
2358,4.56,0.56,8.49,0.73,-1,2358,,,,,,
1805,-8.24,-0.61,14.47,0.83,-1,1805,,,,,,
2701,3.79,0.62,58.36,2.38,-1,2701,,,,,,
1443,-28.77,-0.56,18.36,0,-1,1443,,,,,,
8467,6.11,1.75,28.68,2.62,-1,8467,,,,,,
1810,5.93,0.8,25.21,2.1,-1,1810,,,,,,
2342,1.96,0.33,18.34,0.61,-1,2342,,,,,,
3504,-1.04,-0.31,19.01,1.26,-1,3504,,,,,,
2201,-1.34,-1.21,20.43,2.01,-1,2201,,,,,,
1468,0.76,0.06,10.45,0,-1,1468,,,,,,
2364,-16.2,-0.13,25.9,0.21,-1,2364,,,,,,
2206,9.65,1.86,18.01,3.1,-1,2206,,,,,,
6573,-4.76,-0.48,11.54,1.63,-1,6573,,,,,,
3296,-0.38,-0.02,14.89,3.09,-1,3296,,,,,,
1531,2.28,0.47,18.67,3.38,-1,1531,,,,,,
2104,7.86,2.66,24.59,3.72,-1,2104,,,,,,
4566,9.51,2.77,21.25,2.81,-1,4566,,,,,,
3062,1.46,0.25,6.43,0.79,-1,3062,,,,,,
2409,7.62,1.84,12.02,4.15,-1,2409,,,,,,
6558,9.39,1.39,22.4,4.22,-1,6558,,,,,,
1616,-0.69,-0.06,5.43,0,-1,1616,,,,,,
5525,7.29,1.43,29.61,3.76,-1,5525,,,,,,
9946,9.56,1.85,33.03,3.83,-1,9946,,,,,,
8072,-0.63,-0.28,15.1,1.42,-1,8072,,,,,,
6165,5.05,0.59,12.54,0.04,-1,6165,,,,,,
2460,-0.54,-0.09,11.5,3.49,-1,2460,,,,,,
2483,5.93,1.31,21.97,4.08,-1,2483,,,,,,
3019,8.08,3.25,19.45,3.34,-1,3019,,,,,,
3605,5.93,2.3,21.67,2.28,-1,3605,,,,,,
9958,8.58,2.61,16.63,1.81,-1,9958,,,,,,
9919,7.8,1.11,19.46,4.41,-1,9919,,,,,,
2328,8.46,1.75,9.52,2.66,-1,2328,,,,,,
2731,-1.4,0.19,13.34,4.24,-1,2731,,,,,,
3031,6.22,1.03,25.01,4.83,-1,3031,,,,,,
1733,6.98,1.19,25.53,4.33,-1,1733,,,,,,
1783,6.44,0.81,45.22,1.02,-1,1783,,,,,,
2387,7.13,2.65,13.33,3.79,-1,2387,,,,,,
1419,6.16,1.82,25.76,3.8,-1,1419,,,,,,
9907,5.31,0.68,10.77,2.78,-1,9907,,,,,,
6120,-2.87,-0.41,3.06,4.18,-1,6120,,,,,,
1402,5.81,1.95,19.83,4.62,-1,1402,,,,,,
1614,5.27,1.07,20.08,2.58,-1,1614,,,,,,
8222,-0.81,-0.07,11.05,2.45,-1,8222,,,,,,
2413,-3.33,-0.43,15.14,0.86,-1,2413,,,,,,
6139,5.02,2.07,6.96,4.61,-1,6139,,,,,,
3518,-8.67,-2.01,18.44,4.23,-1,3518,,,,,,
1760,9.25,1.44,53.82,1.05,-1,1760,,,,,,
2239,8.89,6.96,17.57,4.02,-1,2239,,,,,,
6243,-8.27,-0.47,24.89,3.05,-1,6243,,,,,,
4142,-9.63,-0.72,-1.54,0.26,-1,4142,,,,,,
6451,7.26,4.14,23.26,3.1,-1,6451,,,,,,
1711,4.41,0.66,22.02,2.09,-1,1711,,,,,,
2362,2.77,1.87,22.77,2.84,-1,2362,,,,,,
2415,7.09,1.38,26.54,3.03,-1,2415,,,,,,
3704,1.97,0.39,22.37,1.29,-1,3704,,,,,,
1903,-4.4,-0.44,33.51,0,-1,1903,,,,,,
6153,2.65,0.67,12.86,0.81,-1,6153,,,,,,
1786,7.38,1.54,67.17,2.37,-1,1786,,,,,,
5469,9.54,4.94,17.39,4.89,-1,5469,,,,,,
5225,4.51,1.22,10.41,3.09,-1,5225,,,,,,
4104,6.93,3.81,19.67,4.89,-1,4104,,,,,,
1337,-11.37,-3.06,-24.86,3.47,-1,1337,,,,,,
8046,6.79,3.72,9.75,1.26,-1,8046,,,,,,
1714,6.61,0.6,12.57,3.34,-1,1714,,,,,,
1735,3.83,0.55,15.87,3.09,-1,1735,,,,,,
3054,1.85,0.22,0.01,3.71,-1,3054,,,,,,
3058,-6.87,-0.81,11.54,2.8,-1,3058,,,,,,
6155,5.22,0.85,27.41,3.63,-1,6155,,,,,,
3021,9.85,1.27,22.41,2.8,-1,3021,,,,,,
3701,5.73,0.58,12.75,0,-1,3701,,,,,,
2101,4.76,0.64,18.67,1.24,-1,2101,,,,,,
2705,-26.89,-2.66,17.77,0.25,-1,2705,,,,,,
2105,5.89,1.47,22.8,3.61,-1,2105,,,,,,
9906,3.5,0.41,25.25,0.27,-1,9906,,,,,,
2486,-1.76,-0.26,11.62,3.46,-1,2486,,,,,,
9908,6.92,1.59,22.48,3.36,-1,9908,,,,,,
6426,6.55,1.89,44.26,2.38,-1,6426,,,,,,
1907,7.88,1.9,18.37,4.14,-1,1907,,,,,,
4739,8.86,3.57,11.39,1.89,-1,4739,,,,,,
1709,7.17,1.14,16.75,4.36,-1,1709,,,,,,
2102,-13.11,-2.1,2.03,0.61,-1,2102,,,,,,
4555,5.81,2.22,35.78,3.15,-1,4555,,,,,,
2612,4.6,2.34,20.81,4.11,-1,2612,,,,,,
2610,3.9,0.44,11.95,1.92,-1,2610,,,,,,
1535,6.63,1.64,6.39,3.35,-1,1535,,,,,,
1414,2.34,0.33,9.5,1.74,-1,1414,,,,,,
1708,6.85,1.79,26.22,2.1,-1,1708,,,,,,
6405,2.07,0.65,18.65,3.74,-1,6405,,,,,,
5484,-12.9,-1.06,16.81,2.32,-1,5484,,,,,,
6288,5.36,0.7,19.59,2.28,-1,6288,,,,,,
2901,2.7,0.32,85.71,1.2,-1,2901,,,,,,
3576,-19.85,-1.97,-6.51,4.56,-1,3576,,,,,,
5607,9.16,2.08,54.82,1.71,-1,5607,,,,,,
4426,2.7,0.6,10.89,1.6,-1,4426,,,,,,
2605,2.43,0.52,21.12,2.38,-1,2605,,,,,,
6133,-0.03,0.01,18.92,1.03,-1,6133,,,,,,
3437,-3.59,-0.72,9.77,4.64,-1,3437,,,,,,
1618,2.86,0.53,8.77,2.63,-1,1618,,,,,,
4935,10.02,5.22,17.74,4.58,-1,4935,,,,,,
2453,7.1,1.34,22.78,4.45,-1,2453,,,,,,
1539,8.88,1.68,10.71,3.01,-1,1539,,,,,,
8926,7.86,1.6,12.35,4.35,-1,8926,,,,,,
4306,4.41,0.88,14,4.24,-1,4306,,,,,,
2369,0.54,0.05,7.75,3.69,-1,2369,,,,,,
1538,-52.11,-2.39,13.51,0,-1,1538,,,,,,
1802,6.39,1.08,17.92,3.84,-1,1802,,,,,,
2706,4.03,0.71,73.7,2.04,-1,2706,,,,,,
2241,0.65,0.03,20.48,0.91,-1,2241,,,,,,
2606,8.2,2.38,17.09,4.92,-1,2606,,,,,,
6668,6.91,1.29,37.53,2.21,-1,6668,,,,,,
2538,-1.26,-0.22,52.92,4.07,-1,2538,,,,,,
6116,9.53,1.33,24.71,4.57,-1,6116,,,,,,
4906,5.52,1.45,10.39,4.04,-1,4906,,,,,,
8103,8.53,2.75,29.89,3.49,-1,8103,,,,,,
8110,3.17,0.69,6.71,2.77,-1,8110,,,,,,
6225,-159.53,-0.1,-67.76,0,-1,6225,,,,,,
3051,3.54,0.66,21.35,0,-1,3051,,,,,,
2332,2.48,0.27,28.43,1.61,-1,2332,,,,,,
6215,8.05,1.2,26.2,3.31,-1,6215,,,,,,
2722,2.75,0.48,41.52,0.91,-1,2722,,,,,,
3037,9.12,3.28,14.18,1.03,-1,3037,,,,,,
4164,4.92,1.9,31.26,4.02,-1,4164,,,,,,
5243,7.55,2.62,15.66,2.62,-1,5243,,,,,,
9928,-23.19,-0.98,-5.87,0,-1,9928,,,,,,
6289,-215.93,-0.51,-108.8,0,-1,6289,,,,,,
2109,1.21,-0.21,20.27,2.57,-1,2109,,,,,,
6117,-4.85,-0.5,16.15,2.69,-1,6117,,,,,,
5284,8.5,3.4,33.05,4.68,-1,5284,,,,,,
4934,-30.28,-2.89,-8.41,1.39,-1,4934,,,,,,
2465,7.45,1.21,14.31,0.67,-1,2465,,,,,,
2317,9.97,8.35,6.06,3.63,-1,2317,,,,,,
