股票代碼,流動比率_3Y,速動比率_3Y,利息保障倍數_3Y,負債比_3Y,ROA_3Y,ROE_3Y,毛利率_3Y
1101,180.31,167.52,16.9,45.33,6.96,11.73,29.01
1102,135.01,123.95,21.29,42.99,6.92,11.54,27.36
1103,357.81,356.06,9.62,37.64,3.83,5.6,1.65
1104,114.99,107.86,41.03,22.49,5.06,6.34,15.69
1108,242.61,74.78,9.64,41.75,3.38,5.15,12.9
1109,313.76,270.44,2000.22,19.3,12.24,15.44,32.51
1201,95.25,75.11,7.27,62.12,4.8,11.87,29.55
1203,253.94,165.85,66.35,33.72,7.63,11.35,32.56
1210,105.6,69.36,13.47,48.57,6.86,12.17,13.56
1215,100.99,76.6,25.69,57.33,8.78,19.0,14.61
1216,105.62,80.57,16.77,63.96,6.55,16.62,33.92
1217,72.45,49.22,2.79,48.4,2.14,2.61,31.82
1218,212.57,175.3,51.35,28.87,7.36,9.96,17.75
1219,185.35,113.43,10.5,51.61,4.18,7.8,9.44
1220,440.48,317.74,93.89,20.11,5.76,7.12,14.89
1225,152.54,108.69,20.09,53.95,5.9,11.68,9.55
1227,234.84,178.79,82.63,34.48,11.84,17.76,27.56
1229,87.69,74.02,55.8,20.34,7.62,9.35,22.07
1231,146.71,97.97,28.55,51.79,8.54,17.14,22.06
1232,338.19,232.59,235.3,28.32,19.62,27.15,12.44
1233,137.85,90.17,18.26,36.68,3.84,5.45,57.07
1234,363.01,111.32,84.88,20.02,3.79,4.71,27.73
1235,314.94,314.3,4.06,29.79,1.94,2.02,44.85
1256,254.83,209.0,406.97,25.37,19.82,27.49,40.25
1301,231.09,205.15,54.28,28.74,8.7,11.96,19.64
1303,207.73,162.87,37.07,36.93,7.68,11.8,16.52
1304,224.63,184.08,40.72,38.85,8.14,12.99,19.24
1305,271.95,190.38,330.07,28.49,12.11,16.86,20.81
1307,230.83,175.5,9.41,47.39,1.92,3.14,20.9
1308,203.83,181.55,71.71,28.79,9.83,13.55,24.22
1309,265.22,226.05,199.46,35.41,15.4,24.01,14.5
1312,417.39,365.59,466.48,15.87,11.39,13.44,17.41
1315,982.62,909.19,633.31,10.44,18.14,20.48,16.38
1319,122.95,83.03,9.54,37.07,3.29,4.82,21.28
1321,184.55,129.77,7.35,49.56,3.56,6.34,8.01
1323,381.75,302.64,26.85,53.01,7.05,14.14,24.41
1324,338.64,252.66,215.78,21.99,0.55,0.69,16.33
1325,1377.89,1222.88,34640.19,9.51,23.6,27.35,38.15
1326,281.3,231.99,30.05,25.7,6.08,7.91,12.14
1338,183.32,151.54,10.73,38.08,3.65,5.17,23.11
1339,186.16,157.64,12.98,31.59,3.99,5.83,27.87
1402,107.86,80.02,7.02,55.61,2.89,5.47,18.97
1410,950.6,906.12,1121.29,17.29,5.12,6.19,36.94
1434,211.17,116.24,18.21,22.2,4.2,5.06,11.14
1436,162.48,28.67,4.97,75.55,3.49,10.82,30.49
1437,402.61,389.0,9.12,42.39,5.6,9.02,69.58
1442,761.06,28.84,4698.44,57.78,1.87,4.16,16.99
1452,991.5,853.55,7018.5,9.25,7.28,8.03,15.09
1457,117.29,87.18,5.7,57.68,3.45,6.61,11.54
1463,648.55,550.24,1940.0,13.74,3.37,3.81,18.7
1468,167.58,83.01,2.56,58.4,2.21,3.16,9.84
1470,359.34,268.15,127.92,17.95,5.02,6.04,21.86
1474,164.25,102.96,8.98,48.96,2.71,4.71,12.68
1475,362.06,339.9,9217.63,35.94,11.62,25.46,11.73
1476,229.08,136.12,174.93,25.86,18.29,24.3,27.98
1477,181.93,119.69,37.82,40.35,13.41,21.72,21.67
1503,135.07,96.67,68.98,39.51,4.25,6.93,18.4
1504,221.26,171.02,22.76,34.57,4.17,6.16,23.9
1513,147.95,80.48,23.49,63.48,5.52,14.12,20.63
1514,152.27,107.54,33.1,49.37,5.4,10.17,17.43
1515,117.06,95.36,97.08,58.88,12.77,30.52,16.98
1517,297.99,210.8,3923.8,29.99,4.72,6.8,15.04
1519,156.11,98.6,16.82,61.46,4.88,11.41,15.76
1521,137.42,77.23,123.33,49.55,5.69,10.89,14.93
1522,129.44,60.33,4.24,69.14,2.33,5.99,20.55
1524,119.39,74.73,5.67,56.26,2.01,3.65,17.38
1525,220.29,184.77,264.05,17.76,5.97,7.25,8.89
1526,201.72,102.9,65.96,43.79,8.92,15.5,25.13
1532,173.76,63.45,5.6,64.7,2.84,6.44,23.93
1535,157.73,157.4,161.43,53.62,3.63,7.99,6.69
1536,99.32,61.37,6.25,61.68,2.91,6.19,25.23
1537,407.84,255.61,881.1,26.69,15.24,21.01,22.56
1541,143.16,97.99,49.59,60.04,9.64,22.93,17.05
1558,261.42,207.21,165.88,33.21,9.64,13.98,24.61
1560,197.28,116.5,53.78,47.36,7.18,12.69,30.06
1582,196.03,171.87,45.8,46.41,7.25,12.32,22.8
1589,216.67,181.12,5.25,46.95,2.49,3.56,19.67
1590,141.44,107.66,27.73,42.15,11.68,20.54,48.26
1597,240.01,163.33,35.66,39.54,6.81,10.89,42.45
1603,177.78,136.85,26.68,34.94,3.54,5.28,14.42
1604,150.8,92.46,81.75,38.22,11.66,19.01,17.07
1605,168.73,101.22,24.78,42.18,5.85,9.62,10.23
1609,137.71,95.92,6.03,63.28,5.19,11.64,8.71
1611,231.48,181.33,27.95,24.97,6.54,8.15,27.13
1612,548.44,337.92,191.12,14.87,16.27,18.65,9.96
1614,276.0,147.57,250.46,18.62,4.99,6.1,20.63
1615,193.63,119.71,61.85,35.49,11.14,17.09,15.08
1617,177.38,149.44,22.2,41.83,5.0,8.19,12.79
1618,614.06,387.48,788.0,9.04,3.8,4.17,10.16
1701,186.19,111.13,15.64,44.72,4.36,7.56,36.56
1702,157.09,121.96,7.67,68.47,4.98,14.67,33.44
1707,124.63,104.31,302.95,33.06,15.9,24.2,81.43
1708,86.84,67.97,7.36,51.43,3.92,6.33,25.62
1709,162.65,70.65,28.57,33.47,5.09,7.36,17.37
1711,191.18,92.23,8.06,37.47,2.93,4.11,22.03
1712,127.25,76.26,18.27,53.08,5.42,10.84,27.15
1714,269.87,214.35,11.86,35.11,6.39,9.1,15.93
1717,197.0,147.54,10.72,59.05,5.57,12.25,21.27
1720,210.16,160.36,100.29,32.01,8.68,12.66,44.3
1722,403.78,298.74,674.06,33.14,3.28,4.91,21.55
1723,140.75,105.9,45.65,38.57,8.95,14.28,21.86
1725,244.27,237.02,25.73,36.76,4.61,7.08,4.85
1726,523.47,367.21,4395.39,15.59,7.79,9.2,25.51
1730,268.86,198.49,210.97,31.03,13.05,19.38,44.36
1731,341.15,291.72,36.2,28.5,5.7,7.89,63.66
