會計項目,流動比率,速動比率,利息保障倍數,毛利率,存貨週轉率,負債比,稅後淨利率,ROE,ROA,股票代碼,股票名稱,股票類別,判斷
2016,164.5,94.4,6.33,27.42,1.84,45.5,1.83,2.35,1.57,2427,三商電,資訊服務業,2016_2427
2016,177.16,156.06,12.91,24.35,10.37,46.46,1.6,3.59,2.06,2453,凌群,資訊服務業,2016_2453
2016,269.22,247.19,3540.12,14.18,12.2,25.25,3.2,4.08,3.07,2468,華經,資訊服務業,2016_2468
2016,217.42,178.56,1283.13,26.14,5.44,41.36,7.1,10.86,6.77,2480,敦陽科,資訊服務業,2016_2480
2016,216.56,185.17,223.07,9.76,12.42,41.61,3.8,11.49,6.77,3029,零壹,資訊服務業,2016_3029
2016,142.04,55.57,17.73,8.74,3.21,61.9,2.74,12.51,5.17,6112,邁達特,資訊服務業,2016_6112
2016,335.85,335.55,1217.18,43.05,521.05,22.19,16.47,10.19,7.83,6183,關貿,資訊服務業,2016_6183
2016,251.69,211.75,51.19,26.72,5.4,33.14,6.73,8.41,5.89,6214,精誠,資訊服務業,2016_6214
2017,145.97,92.43,6.93,25.48,2.08,53.12,2.24,3.48,2.05,2427,三商電,資訊服務業,2017_2427
2017,158.96,138.47,16.6,22.3,11.86,51.35,1.81,4.97,2.7,2453,凌群,資訊服務業,2017_2453
2017,246.08,218.54,3164.07,13.65,11.63,28.48,2.7,3.3,2.41,2468,華經,資訊服務業,2017_2468
2017,209.3,163.67,6386.07,26.56,4.03,41.33,7.28,11.59,6.8,2480,敦陽科,資訊服務業,2017_2480
2017,211.43,178.82,654.76,9.86,11.5,42.16,3.27,9.48,5.52,3029,零壹,資訊服務業,2017_3029
2017,144.08,68.43,25.56,9.04,3.52,61.54,2.87,13.98,5.57,6112,邁達特,資訊服務業,2017_6112
2017,219.04,176.02,41.18,26.87,4.63,36.37,6.95,9.35,6.25,6214,精誠,資訊服務業,2017_6214
2018,145.2,74.89,10.35,27.96,1.84,49.6,3.45,5.38,2.89,2427,三商電,資訊服務業,2018_2427
2018,177.66,154.06,12.22,23.49,10.55,47.39,1.27,3.43,1.89,2453,凌群,資訊服務業,2018_2453
2018,255.54,229.3,837.68,11.35,12.53,27.95,2.56,3.78,2.72,2468,華經,資訊服務業,2018_2468
2018,188.88,114.04,731.59,29.72,2.62,46.82,8.7,15.64,8.73,2480,敦陽科,資訊服務業,2018_2480
2018,174.47,130.99,880.76,10.26,8.33,49.83,3.79,11.73,6.3,3029,零壹,資訊服務業,2018_3029
2018,143.99,72.3,30.27,9.78,3.84,61.65,3.1,14.6,5.8,6112,邁達特,資訊服務業,2018_6112
2018,256.42,256.39,2668.88,41.4,3368.48,25.81,17.68,13.13,10,6183,關貿,資訊服務業,2018_6183
