判斷,代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,ROE_5Y.1,EPS_5Y.1,毛利率_5Y.1,現金殖利率.1,符合數量,正負樣本
3703,3703,欣陸,5.06,1.51,12.96,3.09,0,1,0,0,1,-1
1449,1449,佳和,-7.07,-0.34,7.13,0.0,0,0,0,0,0,-1
4540,4540,全球傳動,9.1,2.45,25.19,3.22,0,1,1,0,2,-1
1617,1617,榮星,8.87,1.08,13.25,4.33,0,1,0,0,1,-1
2038,2038,海光,0.71,0.2,2.22,3.16,0,1,0,0,1,-1
2514,2514,龍邦,9.03,1.97,32.1,1.6,0,1,1,0,2,-1
2910,2910,統領,4.15,0.55,65.7,1.89,0,1,1,0,2,-1
3432,3432,台端,5.34,1.18,34.76,1.7,0,1,1,0,2,-1
1522,1522,堤維西,7.37,1.56,21.12,3.69,0,1,1,0,2,-1
2613,2613,中櫃,2.6,0.64,11.68,2.14,0,1,0,0,1,-1
1418,1418,東華,-60.82,-4.53,-113.93,0.0,0,0,0,0,0,-1
2417,2417,圓剛,8.29,1.29,50.78,1.97,0,1,1,0,2,-1
2712,2712,遠雄來,0.72,0.09,27.4,1.87,0,1,1,0,2,-1
1236,1236,宏亞,0.09,0.01,26.96,1.27,0,1,1,0,2,-1
2634,2634,漢翔,9.76,1.42,10.91,2.33,0,1,0,0,1,-1
2704,2704,國賓,2.34,0.63,32.86,1.8,0,1,1,0,2,-1
1410,1410,南染,7.1,1.18,37.42,2.86,0,1,1,0,2,-1
5258,5258,虹堡,2.78,0.15,27.1,1.2,0,1,1,0,2,-1
2329,2329,華泰,2.23,0.35,7.67,1.29,0,1,0,0,1,-1
3004,3004,豐達科,9.66,3.04,23.98,2.41,0,1,1,0,2,-1
3024,3024,憶聲,3.63,0.35,22.0,1.52,0,1,1,0,2,-1
2344,2344,華邦電,9.29,1.5,33.79,3.11,0,1,1,0,2,-1
2359,2359,所羅門,4.09,1.03,20.42,3.28,0,1,1,0,2,-1
2466,2466,冠西電,1.11,0.12,10.92,0.0,0,1,0,0,1,-1
1217,1217,愛之味,2.25,0.27,31.77,0.62,0,1,1,0,2,-1
1795,1795,美時,7.58,2.59,46.1,0.35,0,1,1,0,2,-1
3308,3308,聯德,-9.7,-0.87,4.96,0.99,0,0,0,0,0,-1
3481,3481,群創,6.14,1.57,13.33,3.98,0,1,0,0,1,-1
2062,2062,橋椿,2.65,0.89,12.86,1.11,0,1,0,0,1,-1
2540,2540,愛山林,9.63,3.19,39.99,0.6,0,1,1,0,2,-1
3164,3164,景岳,5.87,0.99,65.79,3.45,0,1,1,0,2,-1
3419,3419,譁裕,-0.73,-0.08,19.58,1.1,0,0,0,0,0,-1
