判斷,代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,ROE_5Y.1,EPS_5Y.1,毛利率_5Y.1,現金殖利率.1,符合數量,正負樣本
3550,3550,聯穎,4.7,1.06,18.67,5.07,0,1,0,1,2,-1
1451,1451,年興,1.03,0.34,6.65,5.18,0,1,0,1,2,-1
1776,1776,展宇,6.4,0.88,17.1,6.23,0,1,0,1,2,-1
6152,6152,百一,-8.4,-0.89,13.15,14.95,0,0,0,1,1,-1
2498,2498,宏達電,-12.4,-5.66,16.53,26.23,0,0,0,1,1,-1
2316,2316,楠梓電,4.89,1.79,6.69,6.19,0,1,0,1,2,-1
3266,3266,昇陽,1.55,0.33,18.23,6.05,0,1,0,1,2,-1
2204,2204,中華,5.69,3.39,16.53,7.46,0,1,0,1,2,-1
1710,1710,東聯,4.84,0.77,8.14,5.21,0,1,0,1,2,-1
1452,1452,宏益,8.16,1.56,15.33,7.18,0,1,0,1,2,-1
2392,2392,正崴,4.13,2.77,10.25,5.49,0,1,0,1,2,-1
2324,2324,仁寶,8.35,2.0,3.39,6.26,0,1,0,1,2,-1
1909,1909,榮成,7.11,1.48,16.05,5.74,0,1,0,1,2,-1
1512,1512,瑞利,-71.55,-1.47,3.53,6.12,0,0,0,1,1,-1
9905,9905,大華,7.27,1.75,14.13,5.3,0,1,0,1,2,-1
1530,1530,亞崴,8.65,2.36,18.49,5.42,0,1,0,1,2,-1
3060,3060,銘異,-4.96,-1.04,7.67,9.5,0,0,0,1,1,-1
1340,1340,勝悅-KY,-1.69,-0.24,-13.0,9.4,0,0,0,1,1,-1
3607,3607,谷崧,-13.63,-4.07,0.96,9.13,0,0,0,1,1,-1
3673,3673,TPK-KY,2.97,2.57,4.42,6.18,0,1,0,1,2,-1
1314,1314,中石化,5.13,1.21,9.95,6.8,0,1,0,1,2,-1
1626,1626,艾美特-KY,0.68,0.19,16.38,5.23,0,1,0,1,2,-1
2929,2929,淘帝-KY,-1.56,1.7,12.22,29.47,0,1,0,1,2,-1
2353,2353,宏碁,8.39,1.69,10.89,5.56,0,1,0,1,2,-1
2034,2034,允強,9.91,1.93,11.24,5.32,0,1,0,1,2,-1
2485,2485,兆赫,-1.14,-0.19,6.19,6.72,0,0,0,1,1,-1
2356,2356,英業達,9.33,1.83,4.61,6.55,0,1,0,1,2,-1
2489,2489,瑞軒,6.82,1.22,9.76,11.48,0,1,0,1,2,-1
1108,1108,幸福,1.71,0.21,8.77,5.47,0,1,0,1,2,-1
1608,1608,華榮,6.86,1.1,5.16,6.14,0,1,0,1,2,-1
4930,4930,燦星網,4.45,0.66,15.68,10.23,0,1,0,1,2,-1
1439,1439,中和,6.67,1.68,1.5,6.72,0,1,0,1,2,-1
6108,6108,競國,7.14,1.68,13.95,8.54,0,1,0,1,2,-1
2537,2537,聯上發,1.44,0.2,19.87,8.6,0,1,0,1,2,-1
8249,8249,菱光,5.71,1.54,13.49,6.06,0,1,0,1,2,-1
3015,3015,全漢,3.94,2.06,11.95,5.43,0,1,0,1,2,-1
4532,4532,瑞智,8.43,1.62,13.37,5.3,0,1,0,1,2,-1
