判斷,代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,ROE_5Y.1,EPS_5Y.1,毛利率_5Y.1,現金殖利率.1,符合數量,正負樣本
5706,5706,鳳凰,11.23,2.0,19.6,2.0,1,1,0,0,2,-1
6278,6278,台表科,14.39,6.5,11.19,3.22,1,1,0,0,2,-1
2247,2247,汎德永業,10.21,12.79,11.81,4.59,1,1,0,0,2,-1
9937,9937,全國,15.09,2.44,11.49,4.2,1,1,0,0,2,-1
2301,2301,光寶科,11.79,3.78,15.46,3.67,1,1,0,0,2,-1
9930,9930,中聯資源,15.71,3.19,15.57,4.03,1,1,0,0,2,-1
2351,2351,順德,11.94,3.56,17.99,2.02,1,1,0,0,2,-1
6416,6416,瑞祺電通,15.27,4.72,19.95,3.21,1,1,0,0,2,-1
2352,2352,佳世達,13.25,2.66,13.25,4.79,1,1,0,0,2,-1
4967,4967,十銓,12.35,1.8,7.04,3.58,1,1,0,0,2,-1
4915,4915,致伸,14.84,4.6,12.2,4.07,1,1,0,0,2,-1
5285,5285,界霖,13.56,3.47,17.24,3.89,1,1,0,0,2,-1
2313,2313,華通,15.24,3.29,16.66,2.53,1,1,0,0,2,-1
9931,9931,欣高,10.13,1.91,18.19,2.9,1,1,0,0,2,-1
1225,1225,福懋油,10.42,1.53,9.28,2.57,1,1,0,0,2,-1
6285,6285,啟碁,10.64,4.33,11.87,3.44,1,1,0,0,2,-1
1315,1315,達新,13.36,7.55,16.17,4.41,1,1,0,0,2,-1
5288,5288,豐祥-KY,19.29,8.55,18.21,2.78,1,1,0,0,2,-1
1210,1210,大成,12.03,3.05,13.62,4.11,1,1,0,0,2,-1
6141,6141,柏承,13.18,2.14,17.38,2.18,1,1,0,0,2,-1
6669,6669,緯穎,48.52,36.97,6.81,2.62,1,1,0,0,2,-1
1808,1808,潤隆,17.52,3.44,19.95,4.49,1,1,0,0,2,-1
1615,1615,大山,14.56,2.24,13.05,4.24,1,1,0,0,2,-1
2006,2006,東和鋼鐵,10.32,2.73,12.22,4.41,1,1,0,0,2,-1
2012,2012,春雨,11.96,1.56,16.37,3.95,1,1,0,0,2,-1
6282,6282,康舒,10.91,1.83,15.41,3.6,1,1,0,0,2,-1
9914,9914,美利達,18.33,9.13,13.3,2.4,1,1,0,0,2,-1
6552,6552,易華電,11.43,2.59,18.75,4.14,1,1,0,0,2,-1
9935,9935,慶豐富,13.16,1.36,18.58,2.56,1,1,0,0,2,-1
8215,8215,明基材,11.47,1.54,15.84,2.74,1,1,0,0,2,-1
3596,3596,智易,11.5,6.33,13.57,4.11,1,1,0,0,2,-1
8454,8454,富邦媒,27.85,12.25,10.09,1.42,1,1,0,0,2,-1
4439,4439,冠星-KY,23.37,12.12,17.48,3.39,1,1,0,0,2,-1
6196,6196,帆宣,14.98,5.01,11.28,2.68,1,1,0,0,2,-1
1309,1309,台達化,18.21,2.76,11.11,4.24,1,1,0,0,2,-1
3010,3010,華立,14.31,7.62,8.27,4.62,1,1,0,0,2,-1
2345,2345,智邦,33.7,7.29,19.57,1.98,1,1,0,0,2,-1
4927,4927,泰鼎-KY,12.9,4.81,17.59,4.59,1,1,0,0,2,-1
5434,5434,崇越,18.27,9.44,12.13,3.99,1,1,0,0,2,-1
1232,1232,大統益,25.42,6.54,11.65,3.45,1,1,0,0,2,-1
9802,9802,鈺齊-KY,13.25,6.0,19.3,1.4,1,1,0,0,2,-1
