判斷,代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,ROE_5Y.1,EPS_5Y.1,毛利率_5Y.1,現金殖利率.1,符合數量,正負樣本
3645,3645,達邁,11.14,2.29,32.73,3.29,1,1,1,0,3,1
2496,2496,卓越,12.49,5.46,47.5,8.46,1,1,1,1,4,1
2114,2114,鑫永銓,21.09,7.26,38.13,4.86,1,1,1,0,3,1
4755,4755,三福化,13.06,4.65,20.74,2.23,1,1,1,0,3,1
1590,1590,亞德客-KY,20.7,21.36,49.0,1.02,1,1,1,0,3,1
1323,1323,永裕,14.85,3.1,24.13,4.73,1,1,1,0,3,1
2458,2458,義隆,31.76,8.82,46.63,8.15,1,1,1,1,4,1
4536,4536,拓凱,14.47,8.16,30.88,2.92,1,1,1,0,3,1
6671,6671,三能-KY,13.09,3.61,37.98,7.44,1,1,1,1,4,1
1229,1229,聯華,10.09,2.66,20.74,3.05,1,1,1,0,3,1
1436,1436,華友聯,11.33,3.41,28.63,4.65,1,1,1,0,3,1
1762,1762,中化生,12.28,3.53,40.69,1.83,1,1,1,0,3,1
6269,6269,台郡,14.3,9.09,20.44,5.27,1,1,1,1,4,1
3583,3583,辛耘,14.02,4.45,36.77,2.8,1,1,1,0,3,1
6666,6666,羅麗芬-KY,23.82,6.51,62.94,5.14,1,1,1,1,4,1
8114,8114,振樺電,16.93,6.1,34.67,2.96,1,1,1,0,3,1
3406,3406,玉晶光,16.98,18.52,41.07,1.55,1,1,1,0,3,1
1216,1216,統一,19.92,4.14,33.73,4.75,1,1,1,0,3,1
1325,1325,恆大,17.53,5.61,27.85,11.43,1,1,1,1,4,1
6582,6582,申豐,28.1,12.43,36.78,11.64,1,1,1,1,4,1
3338,3338,泰碩,11.82,2.08,20.95,3.58,1,1,1,0,3,1
5306,5306,桂盟,23.76,10.43,43.51,2.26,1,1,1,0,3,1
3665,3665,貿聯-KY,16.11,13.46,23.75,2.69,1,1,1,0,3,1
3705,3705,永信,10.85,2.62,45.26,4.93,1,1,1,0,3,1
1773,1773,勝一,21.2,6.51,27.35,2.84,1,1,1,0,3,1
2707,2707,晶華,33.93,10.4,31.2,4.36,1,1,1,0,3,1
2433,2433,互盛電,12.49,3.9,30.21,7.38,1,1,1,1,4,1
6230,6230,尼得科超眾,14.7,6.78,20.01,2.84,1,1,1,0,3,1
2520,2520,冠德,13.23,3.52,27.2,5.86,1,1,1,1,4,1
2059,2059,川湖,14.48,15.7,52.96,1.76,1,1,1,0,3,1
8150,8150,南茂,14.26,3.74,20.85,5.72,1,1,1,1,4,1
4148,4148,全宇生技-KY,10.05,3.0,26.79,2.34,1,1,1,0,3,1
2049,2049,上銀,12.51,10.13,34.45,1.92,1,1,1,0,3,1
4137,4137,麗豐-KY,26.61,13.99,83.16,6.68,1,1,1,1,4,1
6464,6464,台數科,11.99,6.57,48.2,5.07,1,1,1,1,4,1
6183,6183,關貿,14.55,2.12,40.72,2.55,1,1,1,0,3,1
3022,3022,威強電,11.5,3.81,33.82,2.1,1,1,1,0,3,1
4968,4968,立積,22.95,5.55,33.42,1.81,1,1,1,0,3,1
3450,3450,聯鈞,14.13,3.12,24.49,4.62,1,1,1,0,3,1
5007,5007,三星,14.77,3.16,22.8,4.94,1,1,1,0,3,1
6214,6214,精誠,10.48,5.6,24.96,6.97,1,1,1,1,4,1
1101,1101,台泥,11.0,3.69,26.64,5.87,1,1,1,1,4,1
9939,9939,宏全,11.22,5.04,20.14,4.05,1,1,1,0,3,1
3653,3653,健策,11.97,6.08,28.25,1.17,1,1,1,0,3,1
1558,1558,伸興,14.84,11.51,24.88,7.23,1,1,1,1,4,1
3130,3130,一零四,19.94,9.14,89.83,4.66,1,1,1,0,3,1
2481,2481,強茂,10.05,2.27,24.15,2.06,1,1,1,0,3,1
2337,2337,旺宏,22.32,3.82,35.49,3.97,1,1,1,0,3,1
4571,4571,鈞興-KY,18.47,5.73,33.2,3.01,1,1,1,0,3,1
2614,2614,東森,16.47,1.68,28.14,3.86,1,1,1,0,3,1
2397,2397,友通,14.27,4.67,26.89,7.42,1,1,1,1,4,1
2454,2454,聯發科,12.96,28.02,41.38,4.48,1,1,1,0,3,1
6670,6670,復盛應用,37.83,14.36,23.89,4.78,1,1,1,0,3,1
9926,9926,新海,12.46,2.14,24.86,3.29,1,1,1,0,3,1
3563,3563,牧德,41.34,18.97,64.62,4.79,1,1,1,0,3,1
6754,6754,匯僑設計,13.78,3.61,23.16,5.12,1,1,1,1,4,1
2441,2441,超豐,16.45,4.94,27.33,5.59,1,1,1,1,4,1
1702,1702,南僑,15.7,4.03,33.25,5.07,1,1,1,1,4,1
3006,3006,晶豪科,18.33,5.8,21.41,4.15,1,1,1,0,3,1
1231,1231,聯華食,16.23,3.31,21.73,2.16,1,1,1,0,3,1
6409,6409,旭隼,41.13,23.79,27.73,1.35,1,1,1,0,3,1
6706,6706,惠特,25.21,8.2,34.72,4.05,1,1,1,0,3,1
1227,1227,佳格,17.48,3.13,28.16,5.65,1,1,1,1,4,1
1560,1560,中砂,14.61,4.47,30.69,2.12,1,1,1,0,3,1
4551,4551,智伸科,18.39,7.74,28.62,2.4,1,1,1,0,3,1
5222,5222,全訊,19.77,3.06,50.71,1.18,1,1,1,0,3,1
2474,2474,可成,12.73,23.65,33.87,6.65,1,1,1,1,4,1
3005,3005,神基,16.25,4.5,27.55,6.65,1,1,1,1,4,1
6202,6202,盛群,27.23,5.29,49.21,7.17,1,1,1,1,4,1
6438,6438,迅得,17.58,5.54,28.33,4.17,1,1,1,0,3,1
3045,3045,台灣大,19.54,4.53,25.92,4.95,1,1,1,0,3,1
9911,9911,櫻花,18.73,3.94,35.17,4.7,1,1,1,0,3,1
6257,6257,矽格,13.89,3.9,28.85,5.42,1,1,1,1,4,1
9910,9910,豐泰,32.01,6.72,23.65,2.74,1,1,1,0,3,1
1723,1723,中碳,16.35,4.98,23.25,3.77,1,1,1,0,3,1
9940,9940,信義,17.08,2.67,30.47,6.13,1,1,1,1,4,1
1526,1526,日馳,16.22,2.82,25.68,2.47,1,1,1,0,3,1
2539,2539,櫻花建,13.68,1.92,29.76,1.95,1,1,1,0,3,1
8462,8462,柏文,19.22,4.92,27.65,3.37,1,1,1,0,3,1
2308,2308,台達電,14.87,8.62,28.26,1.94,1,1,1,0,3,1
5234,5234,達興材料,23.34,6.11,33.89,7.16,1,1,1,1,4,1
2327,2327,國巨,33.2,37.27,42.28,5.55,1,1,1,1,4,1
1707,1707,葡萄王,26.61,9.48,81.57,4.4,1,1,1,0,3,1
8464,8464,億豐,32.4,14.91,50.86,3.64,1,1,1,0,3,1
4999,4999,鑫禾,10.17,4.49,31.22,7.15,1,1,1,1,4,1
2420,2420,新巨,15.79,3.24,37.65,6.38,1,1,1,1,4,1
6641,6641,基士德-KY,18.74,6.26,39.17,6.05,1,1,1,1,4,1
4190,4190,佐登-KY,18.87,5.92,74.73,4.44,1,1,1,0,3,1
1582,1582,信錦,13.49,5.75,22.93,7.87,1,1,1,1,4,1
4764,4764,雙鍵,12.14,3.59,20.97,3.64,1,1,1,0,3,1
5534,5534,長虹,18.12,9.84,37.91,7.63,1,1,1,1,4,1
8081,8081,致新,19.36,11.13,36.82,6.12,1,1,1,1,4,1
5283,5283,禾聯碩,25.36,11.6,38.36,3.8,1,1,1,0,3,1
2505,2505,國揚,13.8,2.08,28.14,2.97,1,1,1,0,3,1
1527,1527,鑽全,14.53,3.88,26.9,5.46,1,1,1,1,4,1
2108,2108,南帝,28.01,5.98,33.14,7.85,1,1,1,1,4,1
2408,2408,南亞科,17.74,8.06,40.15,6.69,1,1,1,1,4,1
2548,2548,華固,14.37,8.59,29.98,6.96,1,1,1,1,4,1
6743,6743,安普新,14.26,2.45,21.84,2.58,1,1,1,0,3,1
4572,4572,駐龍,11.07,4.43,41.66,3.26,1,1,1,0,3,1
8480,8480,泰昇-KY,19.6,8.12,32.33,5.87,1,1,1,1,4,1
2451,2451,創見,10.31,4.74,24.01,7.58,1,1,1,1,4,1
4807,4807,日成-KY,13.13,2.14,23.84,11.33,1,1,1,1,4,1
4552,4552,力達-KY,10.68,5.1,21.43,7.45,1,1,1,1,4,1
4919,4919,新唐,15.23,3.67,39.43,2.03,1,1,1,0,3,1
2231,2231,為升,19.07,6.75,46.26,2.95,1,1,1,0,3,1
5871,5871,中租-KY,21.61,11.46,66.09,2.44,1,1,1,0,3,1
1720,1720,生達,11.69,2.62,44.32,3.67,1,1,1,0,3,1
6449,6449,鈺邦,11.37,2.63,26.24,3.87,1,1,1,0,3,1
6414,6414,樺漢,12.11,13.7,22.36,3.14,1,1,1,0,3,1
1476,1476,儒鴻,24.1,15.41,28.06,2.32,1,1,1,0,3,1
3533,3533,嘉澤,18.48,21.46,36.27,1.44,1,1,1,0,3,1
6415,6415,矽力*-KY,19.59,33.01,48.65,2.03,1,1,1,0,3,1
4912,4912,聯德控股-KY,18.64,7.95,21.31,1.77,1,1,1,0,3,1
6715,6715,嘉基,20.58,3.49,25.3,0.84,1,1,1,0,3,1
6224,6224,聚鼎,16.79,4.82,46.22,6.6,1,1,1,1,4,1
3413,3413,京鼎,25.3,13.49,24.53,3.22,1,1,1,0,3,1
5471,5471,松翰,19.23,4.06,42.11,6.43,1,1,1,1,4,1
1598,1598,岱宇,11.06,3.36,32.34,5.74,1,1,1,1,4,1
6592,6592,和潤企業,14.49,5.11,63.98,3.16,1,1,1,0,3,1
3030,3030,德律,17.92,4.13,54.48,5.3,1,1,1,1,4,1
2492,2492,華新科,28.7,17.93,36.4,8.32,1,1,1,1,4,1
5269,5269,祥碩,33.72,25.93,49.46,1.91,1,1,1,0,3,1
3040,3040,遠見,17.21,4.41,60.89,13.33,1,1,1,1,4,1
9921,9921,巨大,16.45,10.22,21.9,2.69,1,1,1,0,3,1
3092,3092,鴻碩,14.6,3.24,23.93,6.62,1,1,1,1,4,1
2493,2493,揚博,12.54,2.57,28.17,5.82,1,1,1,1,4,1
6655,6655,科定,13.76,4.09,53.2,3.62,1,1,1,0,3,1
2436,2436,偉詮電,11.42,1.98,26.18,3.24,1,1,1,0,3,1
6277,6277,宏正,24.11,8.64,59.09,4.11,1,1,1,0,3,1
2373,2373,震旦行,19.07,6.43,44.02,7.23,1,1,1,1,4,1
6192,6192,巨路,14.9,6.61,31.21,4.89,1,1,1,0,3,1
2915,2915,潤泰全,28.83,16.51,48.49,7.83,1,1,1,1,4,1
9945,9945,潤泰新,17.81,7.47,22.38,2.65,1,1,1,0,3,1
6201,6201,亞弘電,10.67,2.93,20.1,6.66,1,1,1,1,4,1
8404,8404,百和興業-KY,11.55,1.9,36.63,2.92,1,1,1,0,3,1
3530,3530,晶相光,16.59,4.09,25.42,2.96,1,1,1,0,3,1
6525,6525,捷敏-KY,20.71,5.92,31.56,5.29,1,1,1,1,4,1
2904,2904,匯僑,11.82,1.68,41.99,7.2,1,1,1,1,4,1
2477,2477,美隆電,14.55,2.75,21.4,6.41,1,1,1,1,4,1
2449,2449,京元電子,11.56,2.61,28.15,5.53,1,1,1,1,4,1
6531,6531,愛普*,15.8,4.89,25.81,1.62,1,1,1,0,3,1
2228,2228,劍麟,10.85,5.4,25.65,4.9,1,1,1,0,3,1
1730,1730,花仙子,18.9,4.62,44.15,5.75,1,1,1,1,4,1
9941,9941,裕融,17.38,9.73,48.01,3.35,1,1,1,0,3,1
8104,8104,錸寶,17.64,4.31,21.27,4.64,1,1,1,0,3,1
2233,2233,宇隆,14.97,7.08,35.72,3.74,1,1,1,0,3,1
3532,3532,台勝科,11.96,4.96,27.69,2.22,1,1,1,0,3,1
5519,5519,隆大,11.31,2.17,20.64,5.96,1,1,1,1,4,1
1817,1817,凱撒衛,13.58,3.13,32.32,5.75,1,1,1,1,4,1
6581,6581,鋼聯,20.35,5.41,51.75,4.21,1,1,1,0,3,1
3014,3014,聯陽,18.03,5.19,51.95,7.14,1,1,1,1,4,1
8499,8499,鼎炫-KY,24.11,9.93,49.13,5.72,1,1,1,1,4,1
2912,2912,統一超,33.5,13.63,33.89,4.3,1,1,1,0,3,1
1904,1904,正隆,12.44,2.74,22.08,4.96,1,1,1,0,3,1
6756,6756,威鋒電子,23.7,5.31,50.18,1.79,1,1,1,0,3,1
2603,2603,長榮,31.68,10.54,20.59,5.4,1,1,1,1,4,1
4977,4977,眾達-KY,15.54,5.12,24.32,3.42,1,1,1,0,3,1
9917,9917,中保科,20.86,5.13,36.18,4.33,1,1,1,0,3,1
1537,1537,廣隆,22.77,10.74,22.37,6.6,1,1,1,1,4,1
2702,2702,華園,18.21,3.22,77.36,1.29,1,1,1,0,3,1
