ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,備註
-1.45,-0.23,23.22,7.62,-1,1806,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
3.93,1.53,20.8,5.45,1,4916,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
9.71,1.33,28.09,8.09,1,1463,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
-9.71,-1.52,30.64,8.2,-1,3041,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
8.01,2.47,25.18,5.63,1,1532,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
7.3,2.45,37.7,7.56,1,2527,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
6.78,5.62,24.05,6.63,1,1338,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
-16.24,-1.41,73.41,6.3,-1,1432,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
8.64,4.39,22.1,6.31,1,4942,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
3.83,0.64,22.37,5.1,1,1540,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
9.43,3.22,38.8,7.04,1,2545,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
4.27,0.66,23.2,5.41,1,1316,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
8.93,6.63,23.49,5.05,1,3376,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
-10.08,-0.59,27.79,16.12,-1,4943,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
-4.54,-0.44,32.47,18.33,-1,9912,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
9.69,3.4,21.95,6.07,1,8039,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
5.82,2.13,22.43,6.17,1,8473,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
-1.65,-0.15,30.95,7.84,-1,4562,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
4.09,1.45,27.4,6.03,1,2536,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
9.51,2.19,28.8,6.0,1,4564,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
7.55,1.51,23.74,7.0,1,2501,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
8.78,4.27,25.36,6.35,1,3501,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
6.95,0.97,21.75,5.91,1,6168,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
9.81,4.05,24.67,6.29,1,1102,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
6.94,2.71,24.6,6.16,1,2393,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
-5.97,-0.65,44.02,11.47,-1,2911,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2.15,1.17,73.87,9.66,1,5907,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
8.63,1.58,30.33,5.08,1,2340,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
15.45,2.43,3.05,5.68,1,3048,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
